ID,Label
1,9
2,15
3,14
4,6
5,24
6,14
7,28
8,4
9,17
10,14
11,9
12,25
13,10
14,7
15,10
16,17
17,10
18,16
19,5
20,25
21,29
22,9
23,27
24,12
25,17
26,14
27,15
28,6
29,11
30,5
31,15
32,17
33,16
34,6
35,7
36,11
37,12
38,5
39,10
40,16
41,20
42,14
43,2
44,22
45,15
46,21
47,5
48,10
49,20
50,6
51,1
52,1
53,16
54,2
55,16
56,10
57,4
58,16
59,5
60,5
61,25
62,3
63,27
64,18
65,27
66,24
67,28
68,5
69,5
70,19
71,11
72,13
73,7
74,12
75,3
76,7
77,19
78,4
79,9
80,6
81,6
82,17
83,4
84,8
85,13
86,13
87,10
88,9
89,1
90,12
91,10
92,11
93,14
94,8
95,19
96,23
97,28
98,19
99,18
100,13
101,22
102,6
103,28
104,18
105,8
106,29
107,2
108,11
109,25
110,21
111,20
112,3
113,12
114,16
115,13
116,9
117,3
118,2
119,6
120,1
121,21
122,8
123,18
124,11
125,21
126,9
127,2
128,24
129,1
130,10
131,12
132,18
133,2
134,16
135,28
136,5
137,28
138,21
139,29
140,24
141,21
142,17
143,16
144,22
145,15
146,4
147,11
148,15
149,3
150,26
151,27
152,21
153,8
154,16
155,5
156,7
157,3
158,16
159,24
160,9
161,22
162,10
163,7
164,9
165,11
166,29
167,14
168,4
169,8
170,19
171,2
172,8
173,21
174,6
175,15
176,22
177,4
178,10
179,10
180,3
181,21
182,15
183,8
184,13
185,1
186,21
187,22
188,11
189,29
190,29
191,27
192,20
193,16
194,17
195,15
196,14
197,24
198,1
199,8
200,14
201,7
202,8
203,1
204,1
205,1
206,1
207,18
208,20
209,12
210,27
211,2
212,5
213,19
214,29
215,28
216,3
217,25
218,11
219,19
220,6
221,3
222,25
223,9
224,2
225,20
226,26
227,6
228,7
229,11
230,13
231,13
232,7
233,7
234,19
235,7
236,23
237,5
238,25
239,6
240,9
241,24
242,13
243,9
244,4
245,14
246,7
247,11
248,24
249,21
250,20
251,2
252,13
253,12
254,17
255,14
256,9
257,17
258,11
259,18
260,25
261,7
262,17
263,19
264,27
265,16
266,9
267,15
268,11
269,18
270,19
271,10
272,3
273,23
274,6
275,26
276,8
277,14
278,11
279,4
280,19
281,23
282,21
283,13
284,2
285,22
286,11
287,28
288,18
289,7
290,28
291,25
292,5
293,20
294,15
295,26
296,16
297,1
298,29
299,9
300,28
301,16
302,8
303,2
304,17
305,21
306,20
307,3
308,22
309,3
310,10
311,18
312,23
313,19
314,17
315,11
316,12
317,3
318,11
319,26
320,1
321,11
322,17
323,13
324,10
325,21
326,10
327,15
328,11
329,22
330,8
331,4
332,27
333,18
334,9
335,16
336,1
337,2
338,29
339,1
340,24
341,8
342,4
343,26
344,27
345,11
346,19
347,21
348,12
349,25
350,5
351,8
352,20
353,8
354,17
355,12
356,10
357,26
358,2
359,27
360,3
361,20
362,7
363,28
364,21
365,12
366,11
367,10
368,28
369,4
370,15
371,4
372,24
373,14
374,12
375,23
376,13
377,10
378,20
379,27
380,18
381,26
382,4
383,25
384,23
385,9
386,10
387,14
388,24
389,25
390,26
391,20
392,5
393,5
394,4
395,10
396,8
397,6
398,15
399,5
400,24
401,27
402,7
403,5
404,15
405,20
406,1
407,11
408,1
409,5
410,21
411,27
412,26
413,10
414,23
415,24
416,6
417,18
418,16
419,9
420,6
421,23
422,16
423,6
424,7
425,12
426,1
427,3
428,5
429,29
430,9
431,19
432,14
433,9
434,4
435,1
436,7
437,4
438,5
439,28
440,26
441,24
442,3
443,16
444,8
445,1
446,18
447,4
448,12
449,1
450,25
451,6
452,26
453,25
454,6
455,9
456,29
457,1
458,15
459,26
460,1
461,22
462,11
463,14
464,12
465,14
466,2
467,3
468,12
469,13
470,6
471,3
472,4
473,13
474,20
475,23
476,16
477,1
478,6
479,21
480,4
481,3
482,4
483,12
484,18
485,5
486,25
487,24
488,1
489,23
490,10
491,13
492,12
493,7
494,25
495,9
496,29
497,5
498,15
499,29
500,6
501,11
502,16
503,11
504,21
505,21
506,3
507,19
508,8
509,9
510,3
511,4
512,1
513,6
514,9
515,2
516,18
517,14
518,14
519,22
520,2
521,16
522,14
523,19
524,27
525,10
526,3
527,18
528,21
529,8
530,23
531,11
532,12
533,22
534,10
535,9
536,13
537,13
538,25
539,27
540,10
541,2
542,15
543,26
544,9
545,17
546,26
547,7
548,22
549,19
550,10
551,11
552,24
553,5
554,21
555,28
556,9
557,6
558,20
559,11
560,27
561,4
562,13
563,19
564,20
565,1
566,14
567,29
568,7
569,17
570,18
571,6
572,3
573,20
574,26
575,1
576,27
577,16
578,13
579,29
580,16
581,4
582,9
583,6
584,24
585,1
586,21
587,3
588,3
589,24
590,10
591,23
592,23
593,11
594,17
595,21
596,27
597,4
598,8
599,4
600,11
601,12
602,23
603,12
604,21
605,24
606,20
607,17
608,12
609,25
610,27
611,16
612,19
613,28
614,27
615,2
616,8
617,3
618,7
619,6
620,7
621,22
622,25
623,10
624,26
625,7
626,4
627,5
628,10
629,24
630,16
631,16
632,6
633,4
634,9
635,19
636,2
637,2
638,8
639,6
640,2
641,10
642,15
643,10
644,17
645,10
646,10
647,14
648,28
649,4
650,29
651,14
652,17
653,14
654,2
655,6
656,13
657,16
658,27
659,20
660,23
661,26
662,12
663,29
664,26
665,12
666,28
667,21
668,26
669,11
670,4
671,1
672,13
673,15
674,13
675,25
676,5
677,16
678,18
679,5
680,6
681,17
